分類,部門,役職,氏名,専門分野
つくばセンター,イノベーション推進本部,,"綾 信博（あや のぶひろ）","化学工学,製造プロセス,情報・システム,粉体・微粒子,光計測,ナノ粒子・粉体・エアロゾル,ファインバブル,レーザー計測,セマンティック技術,国際標準化"
つくばセンター,イノベーション推進本部,,"陶山 一雄（すやま かずお）","マーケティング,海外進出の事業企画（コンサルタント）"
つくばセンター,イノベーション推進本部,,"黒島 光昭（くろしま みつあき）","企業調査,投資運用分野,廃棄物・廃水処理分野,リサイクル分野"
つくばセンター,イノベーション推進本部,,"福井 実（ふくい みのる）関西センター勤務","物理化学,高分子化学,機能商品科学,材料・化学領域：　機能性材料、ナノマテリアル、高分子材料、セルロース材料、繊維材料、繊維加工技術、機能商品デザイン,生命工学領域：　バイオマテリアル、ゲノム関連技術、診断薬・診断デバイス関連技術、感性工学、ヘルスケア関連技術,エレクトロニクス・製造領域：　センサー材料、センサーシステム、ウエアラブル、先進コーティング技術"
つくばセンター,エネルギー・環境領域,,"近藤 道雄（こんどう みちお）","半導体工学,太陽電池,太陽エネルギー工学,再生可能エネルギー,国際標準化,プラズマプロセス,シリコン太陽電池,薄膜太陽電池,太陽電池モジュール,太陽光発電システム,再生可能エネルギー,国際標準化（IEC、ISO）,海外連携支援"
つくばセンター,エネルギー・環境領域,,"内藤 茂樹（ないとう しげき）","有機合成化学,高分子化学,エポキシ樹脂,半導体封止材料,複合材、接着剤,化審法関連,研究所のマネジメント全般,有機合成化学,高分子化学,エポキシ樹脂,半導体封止材料,複合材、接着剤"
つくばセンター,エネルギー・環境領域,,"袖岡 賢（そでおか さとし）","エネルギー関連材料（耐熱材料，高温対応技術）,国家プロジェクト等でガスタービン、ジェットエンジン用のセラミックスコーティング（プラズマ溶射）,セラミックス基複合材料に関する研究（材料開発，組織制御、耐久性評価）,セラミックスコーティング,セラミックス基複合材料,耐熱合金"
つくばセンター,エネルギー・環境領域,,"西尾 匡弘（にしお まさひろ）","環境化学工学,反応装置工学,CCS,エネルギーマネジメントシステム,エネルギー・経済シナリオ,国際標準化,二酸化炭素回収・貯留,エネルギーマネジメントシステム,エネルギー・経済シナリオ分析,国際標準化"
つくばセンター,エネルギー・環境領域,,"清水 貴思（しみず たかし）","薄膜・表面工学,電子デバイス工学,ナノテクノロジー・半導体工学,パワーエレクトロニクス,電子デバイス,薄膜・ナノ材料,セラミックス,クリーンルームの運営マネジメント　　,エネルギー・環境に関わる主として電子材料全般　　　　　　　　　　　　　"
つくばセンター,生命工学領域,,"後藤 雅式（ごとう まさのり）","糖鎖生物学,糖鎖工学,生化学,分子生物学,糖鎖,糖転移酵素,糖タンパク質,グリコサミノグリカン"
つくばセンター,生命工学領域,,"新間 陽一 （しんま よういち）","糖鎖生物学,遺伝学,分子生物学,糖鎖バイオマーカー,バイオ医薬品,糖鎖生合成,微生物・植物の分子育種,ヒトES細胞指針等"
つくばセンター,生命工学領域,,"山元 一弘 （やまもと かずひろ）","機能性食品関連の素材/製品開発,事業開発,マーケティング,機能性食品,栄養学,食品加工,ヘルスケア"
つくばセンター,生命工学領域,,"三宅 正人（みやけ まさと）","生命工学領域の技術戦略立案,ベンチャー育成,異分野融合,技術士会正会員"
つくばセンター,情報・人間工学領域,,"西井 龍五（にしい りゅうご）","製造分野,情報ネットワーク分野,エレクトロニクス分野,人工知能,ＩｏＴ,ワイヤレス通信,ロボット,人材育成,半導体"
つくばセンター,情報・人間工学領域,,"杉村 領一（すぎむら りょういち）","人工知能,プラットフォーム,エコシステム創設・運営(元Tizen Association 議長),組み込みソフト,認知科学,自然言語処理、計算言語処理,構文解析、形態素解析,デジタル家電、モバイル,ヒューリスティクス、バイアス,Tizen Association、LiMo Foundation,Symbian Foundation、,モバイルPF、 DTV PF,Authoring System、 SD-Card"
つくばセンター,情報・人間工学領域,,"小島 功（こじま いさお）","情報・人間工学領域一般,特に、事業や社会の活動空間のデジタル化による問題発見～解決に関わる研究分野。,人工知能,ＩｏＴ,人間工学,ビッグデータ等"
つくばセンター,情報・人間工学領域,,"神徳 徹雄（こうとく てつお）","力学的相互作用を実現する仮想環境モデルの研究， および，それを利用した遠隔操作システムの研究。,ネットワーク接続したオンラインロボティクスや人間とのインタフェース技術， ロボット技術の共有化，再利用化、標準化,遠隔操作,ロボット工学,システムインテグレーション,国際標準化"
つくばセンター,情報・人間工学領域,,"浅野 朋広（あさの ともひろ）","企業の未来価値に資するR&Dをプロデュースするコンサルティング,コンサルティング,R&Dプロデュース,未来価値共創"
つくばセンター,情報・人間工学領域,,"及川　隆信（おいかわ たかのぶ）","IT戦略策定,新事業開発,コンサルティング,プロポーザルマネジメント,コピーライティング,プレゼンテーション"
つくばセンター,情報・人間工学領域,,"高橋　栄一（たかはし えいいち）","情報工学,計算機工学,デジタルシステム,通信システム,人工知能,コンピュータアーキテクチャ,並列処理,実時間処理,デジタル回路最適化,誤り訂正符号"
つくばセンター,情報・人間工学領域,,"高橋　孝一（たかはし こういち）","IT全般,情報科学,情報セキュリティ,ソフトウェア工学,仕様記述,モデル検査,機能安全,定理証明"
つくばセンター,材料・化学領域,,"井上 貴仁 （いのうえ たかひと）","ナノテクノロジー,ナノ材料,表面・界面科学,コロイド化学,ソフトロボティクス,プローブ顕微鏡,グラフェン,人工筋肉,マイクロフルイディクス,バイオセンサー,界面動電現象"
つくばセンター,材料・化学領域,,浅川　真澄（あさかわ　ますみ）,"有機合成化学,触媒化学,高分子化学,超分子化学,化学,材料,資源循環,ナノマテリアル,スマート化学生産"
つくばセンター,エレクトロニクス・製造領域,,"大久保 雅隆（おおくぼ まさたか）","電気電子工学,先端計測,Ｘ線分析,放射光,質量分析,超電導技術,IEC国際標準"
つくばセンター,エレクトロニクス・製造領域,,"小森 和弘（こもり かずひろ）","情報通信,エレクトロ二クス・製造分野,電気電子工学（電子デバイス・電子機器）,応用物理学（光工学・光量子科学）,光エレクトロニクス、量子エレクトロニクス,半導体デバイス（電子デバイス、光デバイス、量子デバイス）,デバイス製造技術"
つくばセンター,エレクトロニクス・製造領域,,"山内 真（やまうち まこと）","宇宙物理学,光計測,空間光変調,立体映像,製造分野,銀河系、光干渉計,形状計測、液晶素子,位相変調、ホログラフィ,拡張現実感,熟練技能の継承、作業支援,3Dプリンター（Additive Manufacturing）"
つくばセンター,地質調査総合センター,,"斎藤 眞（さいとう まこと）","日本全国の地質,付加体地質学,地質災害,地質標準,シームレス地質図,地質図幅,付加体,地質災害,ＪＩＳ"
つくばセンター,地質調査総合センター,,"阪口 圭一（さかぐち けいいち）","地質学（特に地熱・火山）,地熱,火山,再生可能エネルギー"
つくばセンター,地質調査総合センター,,"張　銘（Zhang Ming チョウ メイ）","資源工学,土木工学,環境工学,環境リスク工学,難透水性材料・物性測定,土壌・地下水汚染・原位置浄化,核廃棄物・地層処分,産業廃棄物の有効利用・適正処理,技術融合,リスクコミュニケーション,国際標準化,海外マーケティング支援"
つくばセンター,計量標準総合センター,,"高辻　利之（たかつじ としゆき）","計測技術,計量標準,光計測,ものづくり,三次元測定機,レーザ干渉計,JIS,ISO,3Dプリンタ"
つくばセンター,計量標準総合センター,,"加藤 英幸（かとう ひでゆき）","計測・計量標準分野一般,物性物理,材料科学,熱物性,熱測定、熱分析,伝熱工学,低温工学,計測装置、計測システム,正確性の評価,固体材料の熱伝導率,熱拡散率、比熱容量,ヒートスプレッダー,高伝熱炭素系材料,熱伝導フィラー,示差走査型熱量計（DSC）による熱分析"
つくばセンター,TIA推進センター,,"岡田 道哉（おかだ みちや）","日本型オープンイノベーション,							（モノづくり共同研究体マネジメント）,パワー半導体,パワーエレクトロニクス及び応用製品,超電導材料,超電導技術及び応用製品,電力材料,電力機器"
つくばセンター,TIA推進センター,,"有本 宏（ありもと ひろし）","表面物理,電子工学,ＬＳＩ製造プロセス,微細加工技術,プラズマエッチング技術,電子ビーム露光技術,計測技術"
つくばセンター,TIA推進センター,,"元木 健作（もとき けんさく）","化合物半導体工学,材料開発全般,電子部品材料,窒化ガリウム,開発企画,事業化戦略,知財戦略"
地域センター,福島再生可能エネルギー研究所,,"近藤 道雄（こんどう みちお）","半導体工学,太陽電池,太陽エネルギー工学,再生可能エネルギー,国際標準化,プラズマプロセス,シリコン太陽電池,薄膜太陽電池,太陽電池モジュール,太陽光発電システム,再生可能エネルギー,国際標準化（IEC、ISO）,海外連携支援"
地域センター,北海道センター,,"永石 博志（ながいし ひろし）","環境・エネルギー分野,反応工学,化学工学,反応速度,石炭・重質油,バイオマス,廃棄物,鮮度保持"
地域センター,北海道センター,,"田中 大之（たなか ひろゆき）","材料工学,製造技術,エレクトロニクス実装,非破壊検査,表面処理,シミュレーション技術"
地域センター,東北センター,,"南條 弘（なんじょう ひろし）","材料科学,表面処理,粘土膜,高温高圧製造プロセス,イオン液体,ガス分離（液・膜）,マイクロ波合成,VOC代替,無溶媒接着,繊維内合成,酵素長寿命化,金属ナノ粒子触媒,グラフェン,アルミナコート,光学計測,電磁波計測,ベイズ推定,病理画像診断,粘弾性流体,電気化学処理,プローブ顕微鏡観測,耐熱・絶縁・ガスバリア膜,高圧CO2,耐熱・不揮発・無臭のガス吸収液体,マッチ箱大マイクロ波装置"
地域センター,中部センター,,"吉村 和記（よしむら かずき）","機能性薄膜,真空成膜技術,光電子分光,伝熱工学,建築環境学,スマートウィンドウ,断熱材料,遮熱材料,冷暖房負荷"
地域センター,中部センター,,"高尾 泰正（たかお やすまさ）","粉体工学,化学工学（製造プロセス）,材料工学（セラミックス）,粒子・粉体,気相合成法,粉体特性評価,化粧品原料,熱伝導フィラー,産業標準（JIS）"
地域センター,関西センター,,"谷本 一美（たにもと かずみ）","電気化学,燃料電池,二次電池,プロセス工学,燃料電池,リチウムイオン電池,次世代二次電池,電池構成材料,電池特性評価"
地域センター,関西センター,,"福井 実（ふくい みのる）
			（イノベーション推進本部所属、関西センター勤務）","物理化学,高分子化学,機能商品科学,材料・化学領域：　機能性材料、ナノマテリアル、高分子材料、セルロース材料、繊維材料、繊維加工技術、機能商品デザイン,生命工学領域：　バイオマテリアル、ゲノム関連技術、診断薬・診断デバイス関連技術、感性工学、ヘルスケア関連技術,エレクトロニクス・製造領域：　センサー材料、センサーシステム、ウエアラブル、先進コーティング技術"
地域センター,関西センター,,"坪田 年（つぼた　すすむ）","環境・エネルギー分野,固体触媒,貴金属担持触媒,触媒,ナノ粒子,環境浄化触媒"
地域センター,関西センター,,"齋藤 俊幸（さいとう としゆき）","環境計測,レーザ,海洋,光計測技術"
地域センター,中国センター,,"三島 康史（みしま やすふみ）","材料・化学,エネルギー・環境分野,地質,製造技術、他,セルロースナノファイバー,有機材料診断,バイオマス,環境技術"
地域センター,中国センター,,"中谷 郁夫（なかたに いくお）","エネルギー・環境関連装置/機器,火力発電プラント・化学プラント関連装置/機器,機能化学品関連"
地域センター,中国センター,,渡辺　博之（わたなべ　ひろゆき）,"自動車工学,熱工学,流体工学,材料工学,ものづくり中小企業様の技術開発/商品開発,生産性向上,規格標準化,人材育成等の支援"
地域センター,四国センター,,"田尾 博明（たお ひろあき）","分析化学,環境分析・排水処理・リサイクル,生体診断技術,機器分析,センサー,微量化学物質,標準化"
地域センター,四国センター,,"大家 利彦（おおいえ としひこ）","ヘルスケア,バイオデバイス,レーザ加工,材料工学,表面処理・接合,IT/IoT関連,ヘルスケア、エイジングケア,バイオデバイス,IT、IoT,歩行、サルコペニア、フレイル,レーザ加工,接合、表面処理"
地域センター,四国センター,,"林 克寛（はやし かつひろ）","企業の技術支援,							（技術政策、中小企業支援、外部資金獲得支援等）,サポイン,ものづくり補助金,中小企業応援ファンド,産学官(公)連携など"
地域センター,九州センター,,坂本　満（さかもと　みちる）,"金属材料,複合材料,高機能材料,製造加工,無機化学,金属鉱床学,材料プロセス,材料加工プロセス,輸送機器,リサイクル,材料循環"
地域センター,九州センター,,"上杉 文彦（うえすぎ ふみひこ）","半導体デバイス生産ラインでの生産性向上に関する生産科学。特に、プラズマ装置内のパーティクルや異常放電の計測技術,材料技術,MOT（技術経営）,半導体、プラズマ,生産技術、品質,パーティクル,異常放電,インピーダンス、高周波,セラミックス,耐腐食,ネットワークアナライザ"
地域センター,九州センター,,"石川 隆稔（いしかわ たかとし）","半導体製造,マイクロ接合,薄膜成膜・加工,半導体,薄膜,接合,フリップチップ,はんだ,スパッタリング,MEMS"
中小企業連携,中小企業連携コーディネータ,,伊藤　哲（いとう　さとし）,"切削加工,研削加工,生産システム,切削工具,研削砥石,ワイヤーソー,超音波加工"
中小企業連携,中小企業連携コーディネータ,,大森　弘一（おおもり　こういち）,"細胞生物学,薬理学,生化学,細胞培養,放射線(RI),受容体"
中小企業連携,中小企業連携コーディネータ,,小笠原　弘道（おがさわら　ひろみち）,"無線通信,情報ネットワーク,プロダクトプランナ,IoT,ものづくり"
中小企業連携,中小企業連携コーディネータ,,清住　嘉道（きよずみ　よしみち）,"化学プロセスの高効率化に向けた反応制御技術（効率よく造る）,化学プロセスの省エネ化に向けた分離技術（うまく分ける）,化学プロセスの革新に向けた新機能材料（新素材）"
中小企業連携,中小企業連携コーディネータ,,"曽谷 卓司（そたに　たくじ）","コンサルティング営業,プロジェクト及びサービスの企画"
中小企業連携,中小企業連携コーディネータ,,"矢野 伸一（やの　しんいち）","生物工学,生化学,バイオマス利用,バイオ燃料,バイオものづくり,応用微生物,発酵,酵素,植物･農業関係"
