プロジェクト名,プロジェクトURL,詳細URL,プロジェクト代表例
輸送システムの研究開発と運用,https://www.jaxa.jp//projects/rockets/index_j.html,http://www.rocket.jaxa.jp/,"H3ロケット,こうのとり（HTV）,イプシロンS"
人工衛星で宇宙から地球を守る・利用する,https://www.jaxa.jp//projects/sat/index_j.html,http://www.satnavi.jaxa.jp/,"だいち3号（ALOS-3）,しきさい（GCOM-C）,JAXA for Earth on COVID-19,いぶき（GOSAT）,いぶき2号（GOSAT-2),技術試験衛星9号機（ETS-9）"
「きぼう」や「HTV-X」が拓く次のステージ,https://www.jaxa.jp//projects/iss_human/index_j.html,https://humans-in-space.jaxa.jp/,"星出宇宙飛行士,野口宇宙飛行士,与圧ローバ―,HTV-X"
持続的な宇宙探査の実現に向けて,https://www.jaxa.jp//projects/exploration/index_j.html,https://www.exploration.jaxa.jp/,"ゲートウェイ,アルテミス計画,南極移動基地,SOLISS,SLIM,高機能化マリンレーダー開発"
太陽系と宇宙の起源の解明に向けて,https://www.jaxa.jp//projects/sas/index_j.html,http://www.isas.jaxa.jp/,"はやぶさ２,MMX,火星,月探査,地球帰還"
目指す“空”のため、安全で豊かな社会を実現する,https://www.jaxa.jp//projects/aero/index_j.html,http://www.aero.jaxa.jp/,"超音速旅客機,ソニックブーム,乱気流事故を減らす,着氷雪や雷からの防御,CO2/Noｘの削減,機体騒音の低減"
地球と宇宙の安心安全な環境を目指して,https://www.jaxa.jp//projects/debris/index_j.html,http://www.kenkai.jaxa.jp/research/debris/debris.html,"商業デブリ除去実証プロジェクト,スペースデブリ観測"
革新的な技術を創出する研究開発,https://www.jaxa.jp//projects/engineering/index_j.html,http://www.kenkai.jaxa.jp/index.html,"スペースデブリの捕獲技術,革新的衛星技術実証プログラム"
共創による宇宙ビジネスの創出・拡大,https://www.jaxa.jp//projects/biz/index_j.html,https://aerospacebiz.jaxa.jp/,"Space Career Forum,THINK SPACE LIFE,KIBO宇宙放送局,SPACE FOODSPHERE"
国際的な取り組みと貢献,https://www.jaxa.jp//projects/int/index_j.html,/projects/int/index_j.html,ASAとの協力覚書
広報活動,https://www.jaxa.jp//projects/pr/index_j.html,/projects/pr/index_j.html,"講演依頼,画像・映像利用（JDA）,展示品貸出,ActivityReport"
教育支援活動,https://www.jaxa.jp//projects/edu/index_j.html,http://edu.jaxa.jp/,"プログラミング教材「HTV-X編」,英語版教材,コズミックカレッジ"
